Name,City,State,Tags,Shakespeare Productions,Annual Productions,Budget,Founded,Select,URL
Chesapeake Shakespeare Company,Baltimore,MD - Maryland,,"Untitled (https://www.notion.so/9af046b490bc42398d8e0711e048f1b2?pvs=21), Untitled (https://www.notion.so/e4c16ebcc77f42b09436e0ff22aed588?pvs=21), Untitled (https://www.notion.so/44bb36f20d084a63b57fad7de2d20de9?pvs=21), Untitled (https://www.notion.so/cbc3c1276bdf42bfa87aef9428289327?pvs=21)",,,,,
Annapolis Shakespeare Company,Annapolis,MD - Maryland,,,,,,,
The MIT Shakespeare Ensemble,Cambridge,MA - Massachusetts,,,,,,,
Boston University Shakespeare Society,Boston,MA - Massachusetts,,,,,,,
Hampshire Shakespeare Company,Amherst,MA - Massachusetts,,,,,,,
Lanes Coven,Rockport,MA - Massachusetts,,,,,,,
Commonwealth Shakespeare Company,,MA - Massachusetts,,,,,,,
Actors’ Shakespeare Project,Boston,MA - Massachusetts,,Untitled (https://www.notion.so/3e5356ae64134ea285939887b4844219?pvs=21),,,,,
Shakespeare & Company,Lenox,MA - Massachusetts,,,,,,,
Shakespeare in Detriot,Detriot,MI - Michigan,,,,,,,
Starling Shakespeare,Coldwater,MI - Michigan,,,,,,,
Pigeon Creek Shakespeare Company,Grand Haven,MI - Michigan,,,,,,,
Grand Valley Shakespeare Festival,Allendale,MI - Michigan,,,,,,,
Container Globe,Detroit,MI - Michigan,,,,,,,https://container-globe.com
Michigan Shakespeare Festival,Jackson,MI - Michigan,,,,,,,
Shakespeare & Company,White Bear Lake,MN - Minnesota,,,,,,,
Ten Thousand Things Theatre Company,Minneapolis,MN - Minnesota,,,,,,,
Guthrie Theater,Minneapolis,MN - Minnesota,,,,,,,https://guthrie.org
Classical Actors Ensemble,Minneapolis,MN - Minnesota,,,,,,,
Great River Shakespeare Festival,Winona,MN - Minnesota,,,,,,,
Minnesota Shakespeare Project,Minneapolis,MN - Minnesota,,,,,,,
Mississippi Shakespeare Festival,Jackson,MS - Mississippi,,,,,,,
